department,month,attrition_rate,absenteeism_rate,sick_days_avg,grievances_count,manager_escalations
Operations,2025-09,9.972507532,3.330508359,2.196450588,1,3
Sales,2025-09,3.262321479,2.493253133,1.971326228,1,7
Engineering,2025-09,3.864579732,2.770578161,2.496695023,0,4
HR,2025-09,5.915532037,3.258958199,2.366226663,2,3
Finance,2025-09,7.146468353,1.225318736,1.785130399,0,5
Operations,2025-10,6.947832506,4.335187759,1.842496107,3,3
Sales,2025-10,3.436442736,2.093371593,1.772354729,0,3
Engineering,2025-10,3.594663806,0.492821461,2.071303236,2,5
HR,2025-10,5.717136099,0.422493531,0.736672382,1,6
Finance,2025-10,0.524136977,1.470105611,1.319809779,2,6
